"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary mutation-magnitude"
"05/07/2018 23:07:05:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","p","num-variants","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"4","1","50","0","0","0","1","40","1656.0000000000014","0","31","19"
"7","1","50","0.05","0","0","1","51","2672.0000000000005","7","18","25"
"6","1","50","0.05","0","0","1","42","1754.9999999999998","4","20","26"
"8","1","50","0.05","0","0","1","43","2010.0000000000002","4","22","24"
"5","1","50","0","0","0","1","49","2354","2","24","24"
"2","1","50","0","0","0","1","42","1973.9999999999993","5","28","17"
"3","1","50","0","0","0","1","39","1047.9999999999998","2","20","28"
"1","1","50","0","0","0","1","31","1667.0000000000002","3","18","29"
"7","1","50","0.05","0","0","1","52","2680.0000000000014","8","20","22"
"4","1","50","0","0","0","1","41","1776.0000000000002","0","33","17"
"2","1","50","0","0","0","1","43","1978.9999999999993","5","28","17"
"5","1","50","0","0","0","1","50","2475.9999999999995","2","24","24"
"6","1","50","0.05","0","0","1","43","1838.9999999999998","4","21","25"
"7","1","50","0.05","0","0","1","53","2688.000000000001","8","18","24"
"1","1","50","0","0","0","1","32","1710.0000000000002","3","18","29"
"4","1","50","0","0","0","1","42","1896.0000000000011","0","31","19"
"2","1","50","0","0","0","1","44","1983.999999999999","5","28","17"
"5","1","50","0","0","0","1","51","2518","2","24","24"
"8","1","50","0.05","0","0","1","44","2014","4","23","23"
"6","1","50","0.05","0","0","1","44","1844.9999999999995","6","21","23"
"3","1","50","0","0","0","1","40","1089.9999999999998","2","20","28"
"4","1","50","0","0","0","1","43","1936.0000000000011","0","33","17"
"7","1","50","0.05","0","0","1","54","2777.0000000000005","9","17","24"
"5","1","50","0","0","0","1","52","2559.9999999999995","2","24","24"
"2","1","50","0","0","0","1","45","2029.0000000000005","5","28","17"
"6","1","50","0.05","0","0","1","45","1851","6","22","22"
"1","1","50","0","0","0","1","33","1753.0000000000005","3","18","29"
"4","1","50","0","0","0","1","44","1976.000000000001","0","31","19"
"2","1","50","0","0","0","1","46","2073.999999999999","5","28","17"
"5","1","50","0","0","0","1","53","2562","2","24","24"
"7","1","50","0.05","0","0","1","55","2786.000000000001","9","19","22"
"8","1","50","0.05","0","0","1","45","2017.0000000000002","3","22","25"
"6","1","50","0.05","0","0","1","46","1936.0000000000005","5","23","22"
"1","1","50","0","0","0","1","34","1796.0000000000005","3","18","29"
"5","1","50","0","0","0","1","54","2604","2","24","24"
"2","1","50","0","0","0","1","47","2078.9999999999986","5","28","17"
"3","1","50","0","0","0","1","41","1132.0000000000002","2","20","28"
"6","1","50","0.05","0","0","1","47","1940.0000000000007","4","23","23"
"7","1","50","0.05","0","0","1","56","2792.0000000000014","6","20","24"
"5","1","50","0","0","0","1","55","2605.9999999999995","2","24","24"
"8","1","50","0.05","0","0","1","46","2060","3","21","26"
"3","1","50","0","0","0","1","42","1133.9999999999998","2","20","28"
"6","1","50","0.05","0","0","1","48","1985.000000000001","5","23","22"
"4","1","50","0","0","0","1","45","1976.0000000000011","0","33","17"
"5","1","50","0","0","0","1","56","2688","2","24","24"
"2","1","50","0","0","0","1","48","2083.999999999999","5","28","17"
"1","1","50","0","0","0","1","35","1839.0000000000007","3","18","29"
"6","1","50","0.05","0","0","1","49","2030.0000000000002","5","22","23"
"3","1","50","0","0","0","1","43","1216.0000000000002","2","20","28"
"4","1","50","0","0","0","1","46","2016.0000000000002","0","31","19"
"8","1","50","0.05","0","0","1","47","2104.0000000000005","4","22","24"
"5","1","50","0","0","0","1","57","2769.9999999999995","2","24","24"
"2","1","50","0","0","0","1","49","2088.999999999999","5","28","17"
"7","1","50","0.05","0","0","1","57","2798.000000000001","6","20","24"
"3","1","50","0","0","0","1","44","1298.0000000000002","2","20","28"
"4","1","50","0","0","0","1","47","2016.0000000000002","0","33","17"
